City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Huarmey,PE,76.26,Broken Clouds,-10.0681,-78.1522,Hotel Miramar
4,Lorengau,PG,80.76,Overcast Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
6,Carnarvon,AU,82.47,Scattered Clouds,-24.8667,113.6333,Hospitality Carnarvon
8,Hithadhoo,MV,81.81,Overcast Clouds,-0.6,73.0833,Scoop Guest House
10,Saint-Philippe,RE,78.39,Few Clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
12,Beira,MZ,84.29,Few Clouds,-19.8436,34.8389,Beira Terrace Hotel
14,Mahebourg,MU,80.89,Scattered Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
16,Georgetown,MY,82.89,Few Clouds,5.4112,100.3354,Cititel Penang
21,Namibe,AO,78.75,Scattered Clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
28,Arraial Do Cabo,BR,82.36,Broken Clouds,-22.9661,-42.0278,Pousada Porto Praia
32,Cidreira,BR,79.65,Clear Sky,-30.1811,-50.2056,Hotel Castelo
33,Comodoro Rivadavia,AR,84.06,Clear Sky,-45.8667,-67.5,Austral Hotel
35,Chuy,UY,75.09,Overcast Clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
37,Riberalta,BO,84.4,Broken Clouds,-10.9833,-66.1,Hotel Colonial
41,Lakatoro,VU,79.47,Overcast Clouds,-16.0999,167.4164,Lakatoro Palm Lodge
46,Kilindoni,TZ,80.85,Overcast Clouds,-7.9139,39.6668,Bustani B&B
55,Touros,BR,88.7,Scattered Clouds,-5.1989,-35.4608,INN NEW HORIZON
57,Vaini,TO,78.96,Few Clouds,-21.2,-175.2,Keleti Beach Resort
58,Castro,BR,79.79,Clear Sky,-24.7911,-50.0119,CHACARA BAILLY
61,Ternate,ID,80.11,Overcast Clouds,0.8,127.4,Sahid Bela Ternate Hotel
64,Kismayo,SO,77.38,Broken Clouds,-0.3582,42.5454,Agan-Hotel
66,Viedma,AR,81.3,Overcast Clouds,-40.8135,-62.9967,Hotel Cristal
68,Kavieng,PG,80.83,Light Rain,-2.5744,150.7967,Nusa Island Retreat
74,Port Elizabeth,ZA,77.29,Clear Sky,-33.918,25.5701,39 On Nile Guest House
76,Rikitea,PF,78.71,Scattered Clouds,-23.1203,-134.9692,People ThankYou
81,Atuona,PF,77.31,Light Rain,-9.8,-139.0333,Villa Enata
83,Quatre Cocos,MU,80.71,Light Rain,-20.2078,57.7625,Sunrise Attitude Hotel
84,Port Hedland,AU,84.25,Scattered Clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
95,Tessalit,ML,81.21,Scattered Clouds,20.1986,1.0114,
96,East London,ZA,81.54,Clear Sky,-33.0153,27.9116,Tu Casa
97,Bambous Virieux,MU,80.85,Scattered Clouds,-20.3428,57.7575,Casa Tia Villa
98,Saint-Leu,RE,77.86,Few Clouds,-21.15,55.2833,La Caz Oceane
103,Boende,CD,88.12,Overcast Clouds,-0.2167,20.8667,
104,Road Town,VG,82.49,Scattered Clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
105,Kota Kinabalu,MY,75.18,Few Clouds,5.9749,116.0724,Gaya Centre Hotel
109,Faanui,PF,79.74,Light Rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
113,Port Alfred,ZA,77.31,Clear Sky,-33.5906,26.891,The Halyards Hotel
120,Bandarbeyla,SO,76.86,Scattered Clouds,9.4942,50.8122,JABIR HOTEL
122,Souillac,MU,80.98,Scattered Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
123,San Cristobal,VE,75.38,Overcast Clouds,7.7669,-72.225,Posada Villaven C.A.
125,Bull Savanna,JM,81.72,Clear Sky,17.8868,-77.5902,Big Red's
127,Rock Sound,BS,77.27,Clear Sky,24.9,-76.2,Pink Corral Bay Property
129,Sao Filipe,CV,79.93,Overcast Clouds,14.8961,-24.4956,Hotel Xaguate
132,Vanimo,PG,77.74,Overcast Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
135,Pochutla,MX,84.02,Scattered Clouds,15.7432,-96.4661,Hotel Posada San Jose
138,Katobu,ID,75.11,Overcast Clouds,-4.9408,122.5276,La Ode Husein
148,Puerto Ayora,EC,80.56,Overcast Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
149,Cayenne,GF,82.44,Broken Clouds,4.9333,-52.3333,Hôtel Le Dronmi
150,Sambava,MG,77.5,Moderate Rain,-14.2667,50.1667,Melrose
157,Goure,NE,81.01,Clear Sky,13.9835,10.2704,
159,Butaritari,KI,82.08,Broken Clouds,3.0707,172.7902,Isles Sunset Lodge
160,Kota Bahru,MY,76.98,Light Rain,6.1333,102.2386,Grand Riverview Hotel
162,Karwar,IN,75.31,Clear Sky,14.8,74.1333,Netalco Connects
165,Jacareacanga,BR,83.8,Overcast Clouds,-6.2222,-57.7528,Casa do Ian😎
166,Mamburao,PH,76.98,Overcast Clouds,13.25,120.6667,UPPER(tii)
173,Banda Aceh,ID,77.9,Scattered Clouds,5.5577,95.3222,Sulthan Hotel International
179,Vieux-Habitants,GP,83.77,Clear Sky,16.0589,-61.7659,Gîtes Dardanelle
180,Fare,PF,80.87,Light Rain,-16.7,-151.0167,Maitai Lapita Village Huahine
181,Canubing,PH,76.14,Overcast Clouds,13.3572,121.1424,Eduardo's Resort
183,Vila Velha,BR,78.75,Thunderstorm,-20.3297,-40.2925,Quality Suites Vila Velha
185,Anloga,GH,88.02,Overcast Clouds,5.7947,0.8973,Pin Drop Hotel
186,Tariba,VE,75.76,Overcast Clouds,7.8188,-72.2243,Hotel Las Lomas
194,Arua,UG,81.41,Scattered Clouds,3.0201,30.9111,Golden Courts Hotel
197,Kisangani,CD,88.16,Broken Clouds,0.5167,25.2,Grand Ramela Hotel
199,La Palma,US,80.91,Clear Sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
200,Cozumel,MX,81.95,Scattered Clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
205,Salinopolis,BR,83.35,Broken Clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
207,Hobyo,SO,77.58,Overcast Clouds,5.3505,48.5268,Halane Hotel and Restaurent
