City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,56.7,67,77,2.66,Broken Clouds
1,Saskylakh,RU,71.9167,114.0833,0.63,77,41,13.38,Scattered Clouds
2,Huarmey,PE,-10.0681,-78.1522,76.26,71,80,10.74,Broken Clouds
3,Longyearbyen,SJ,78.2186,15.6401,10.24,79,0,13.8,Clear Sky
4,Lorengau,PG,-2.0226,147.2712,80.76,76,95,4.09,Overcast Clouds
5,Mattawa,US,46.7379,-119.9028,34.72,52,1,4.07,Clear Sky
6,Carnarvon,AU,-24.8667,113.6333,82.47,69,40,12.66,Scattered Clouds
7,Ushuaia,AR,-54.8,-68.3,51.42,61,47,40.29,Scattered Clouds
8,Hithadhoo,MV,-0.6,73.0833,81.81,68,85,10.51,Overcast Clouds
9,Brae,GB,60.3964,-1.353,46.31,85,100,23.69,Overcast Clouds
10,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,16,6.82,Few Clouds
11,Boa Vista,BR,2.8197,-60.6733,91.38,40,75,14.97,Broken Clouds
12,Beira,MZ,-19.8436,34.8389,84.29,70,20,13.8,Few Clouds
13,Punta Arenas,CL,-53.15,-70.9167,59.11,41,20,36.82,Few Clouds
14,Mahebourg,MU,-20.4081,57.7,80.89,78,40,1.14,Scattered Clouds
15,Guerrero Negro,MX,27.9769,-114.0611,67.08,47,100,3.78,Overcast Clouds
16,Georgetown,MY,5.4112,100.3354,82.89,80,20,3.44,Few Clouds
17,Hobart,AU,-42.8794,147.3294,57.06,74,77,9.22,Broken Clouds
18,Jamestown,US,42.097,-79.2353,30.29,48,100,12.66,Overcast Clouds
19,Hermanus,ZA,-34.4187,19.2345,71.91,84,96,6.53,Overcast Clouds
20,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,19.57,Broken Clouds
21,Namibe,AO,-15.1961,12.1522,78.75,70,48,10.76,Scattered Clouds
22,Mount Gambier,AU,-37.8333,140.7667,64.31,72,80,8.05,Broken Clouds
23,Provideniya,RU,64.3833,-173.3,-12.17,83,4,5.73,Clear Sky
24,Kiruna,SE,67.8557,20.2251,0.52,85,37,8.05,Scattered Clouds
25,Torbay,CA,47.6666,-52.7314,40.28,80,100,10.36,Light Rain
26,Bredasdorp,ZA,-34.5322,20.0403,71.28,73,57,9.22,Broken Clouds
27,Cape Town,ZA,-33.9258,18.4232,74.26,70,0,13.8,Clear Sky
28,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,75,6.91,Broken Clouds
29,Yellowknife,CA,62.456,-114.3525,-19.71,80,0,4.61,Clear Sky
30,Shingu,JP,33.7333,135.9833,41.92,67,0,5.12,Clear Sky
31,Norman Wells,CA,65.282,-126.8329,-14.76,70,40,8.05,Scattered Clouds
32,Cidreira,BR,-30.1811,-50.2056,79.65,68,8,15.97,Clear Sky
33,Comodoro Rivadavia,AR,-45.8667,-67.5,84.06,24,0,10.36,Clear Sky
34,Magalia,US,39.8121,-121.5783,54.16,41,0,4.74,Clear Sky
35,Chuy,UY,-33.6971,-53.4616,75.09,82,98,5.41,Overcast Clouds
36,Pareora,NZ,-44.4871,171.2132,49.17,91,100,17.13,Overcast Clouds
37,Riberalta,BO,-10.9833,-66.1,84.4,74,75,6.91,Broken Clouds
38,Darnah,LY,32.767,22.6367,57.78,54,2,6.96,Clear Sky
39,Gazli,UZ,40.1333,63.45,39.63,53,0,7.85,Clear Sky
40,Yeppoon,AU,-23.1333,150.7333,73.18,77,39,17.83,Scattered Clouds
41,Lakatoro,VU,-16.0999,167.4164,79.47,84,100,1.5,Overcast Clouds
42,Kapaa,US,22.0752,-159.319,67.98,97,75,6.91,Broken Clouds
43,Hohhot,CN,40.8106,111.6522,19.69,58,20,8.95,Few Clouds
44,Mataura,NZ,-46.1927,168.8643,51.48,94,100,2.98,Overcast Clouds
45,Hasaki,JP,35.7333,140.8333,28.8,59,47,6.06,Scattered Clouds
46,Kilindoni,TZ,-7.9139,39.6668,80.85,76,88,8.46,Overcast Clouds
47,Yerbogachen,RU,61.2767,108.0108,-12.89,100,97,0.85,Overcast Clouds
48,Esperance,AU,-33.8667,121.9,64.24,68,99,13.62,Overcast Clouds
49,Aklavik,CA,68.2191,-135.0107,-19.48,67,40,0.0,Scattered Clouds
50,Mount Isa,AU,-20.7333,139.5,74.97,83,43,0.0,Scattered Clouds
51,Husavik,IS,66.0449,-17.3389,22.91,83,68,6.51,Broken Clouds
52,Slave Lake,CA,55.2834,-114.769,17.58,79,100,6.91,Overcast Clouds
53,Marrakesh,MA,31.6315,-8.0083,71.67,21,20,10.36,Few Clouds
54,Murgab,TM,37.4966,61.9714,46.27,66,100,6.91,Overcast Clouds
55,Touros,BR,-5.1989,-35.4608,88.7,62,32,10.56,Scattered Clouds
56,Mar Del Plata,AR,-38.0023,-57.5575,66.22,68,20,20.71,Few Clouds
57,Vaini,TO,-21.2,-175.2,78.96,94,20,4.61,Few Clouds
58,Castro,BR,-24.7911,-50.0119,79.79,45,0,3.4,Clear Sky
59,Pevek,RU,69.7008,170.3133,-25.02,98,100,8.86,Overcast Clouds
60,Dikson,RU,73.5069,80.5464,-0.08,75,100,27.63,Overcast Clouds
61,Ternate,ID,0.8,127.4,80.11,80,95,6.04,Overcast Clouds
62,Zyryanka,RU,65.75,150.85,-33.12,97,10,7.34,Clear Sky
63,Kashi,CN,39.4547,75.9797,40.21,28,40,4.47,Scattered Clouds
64,Kismayo,SO,-0.3582,42.5454,77.38,81,76,15.03,Broken Clouds
65,Hilo,US,19.7297,-155.09,69.53,83,100,10.36,Overcast Clouds
66,Viedma,AR,-40.8135,-62.9967,81.3,15,93,13.11,Overcast Clouds
67,Goldap,PL,54.3063,22.3036,31.28,69,62,10.89,Broken Clouds
68,Kavieng,PG,-2.5744,150.7967,80.83,77,100,3.06,Light Rain
69,Kabinda,CD,-6.1333,24.4833,70.2,92,94,2.42,Light Rain
70,Airai,TL,-8.9266,125.4092,59.31,93,86,2.19,Overcast Clouds
71,Oussouye,SN,12.485,-16.5469,98.78,12,3,10.2,Clear Sky
72,Barrow,US,71.2906,-156.7887,-36.38,100,20,8.05,Few Clouds
73,North Platte,US,41.1239,-100.7654,32.07,55,0,14.97,Clear Sky
74,Port Elizabeth,ZA,-33.918,25.5701,77.29,83,0,17.27,Clear Sky
75,Tianpeng,CN,30.9866,103.9393,41.47,81,100,3.44,Overcast Clouds
76,Rikitea,PF,-23.1203,-134.9692,78.71,72,38,16.31,Scattered Clouds
77,Helsinki,FI,60.1695,24.9355,33.12,84,0,12.66,Clear Sky
78,Bluff,NZ,-46.6,168.3333,51.8,64,80,14.92,Broken Clouds
79,Flinders,AU,-34.5833,150.8552,65.21,93,97,4.0,Overcast Clouds
80,Tasiilaq,GL,65.6145,-37.6368,12.36,64,100,2.73,Overcast Clouds
81,Atuona,PF,-9.8,-139.0333,77.31,78,10,14.56,Light Rain
82,Salair,RU,54.2312,85.7972,-8.59,100,17,1.03,Few Clouds
83,Quatre Cocos,MU,-20.2078,57.7625,80.71,81,61,8.12,Light Rain
84,Port Hedland,AU,-20.3167,118.5667,84.25,89,49,2.3,Scattered Clouds
