City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sakaiminato,35.55,133.2333,33.73,73,100,17.92,JP,2022-02-08 22:09:52
1,punta arenas,-53.15,-70.9167,57.31,41,75,13.8,CL,2022-02-08 22:09:52
2,turbat,26.0023,63.044,65.98,22,0,9.48,PK,2022-02-08 22:09:53
3,vao,-22.6667,167.4833,80.89,88,59,21.0,NC,2022-02-08 22:06:15
4,coahuayana,18.7333,-103.6833,89.08,48,0,7.9,MX,2022-02-08 22:09:53
5,vaini,-21.2,-175.2,84.36,89,40,13.8,TO,2022-02-08 22:09:54
6,ulladulla,-35.35,150.4667,75.87,58,0,2.44,AU,2022-02-08 22:09:54
7,hithadhoo,-0.6,73.0833,82.45,69,100,13.85,MV,2022-02-08 22:09:54
8,cockburn town,21.4612,-71.1419,78.76,65,40,17.27,TC,2022-02-08 22:09:55
9,marawi,7.9986,124.2928,64.65,94,100,1.63,PH,2022-02-08 22:09:55
10,manzanillo,20.3433,-77.1167,82.17,58,68,6.46,CU,2022-02-08 22:09:55
11,hay river,60.8156,-115.7999,-9.44,70,75,9.22,CA,2022-02-08 22:09:56
12,hobart,-42.8794,147.3294,64.11,76,20,9.22,AU,2022-02-08 22:05:38
13,geraldton,-28.7667,114.6,61.21,82,0,10.36,AU,2022-02-08 22:09:56
14,upernavik,72.7868,-56.1549,-16.94,93,100,5.97,GL,2022-02-08 22:09:56
15,gladstone,-23.85,151.25,73.33,68,25,5.75,AU,2022-02-08 22:09:57
16,tasiilaq,65.6145,-37.6368,19.56,80,99,8.32,GL,2022-02-08 22:09:57
17,ushuaia,-54.8,-68.3,53.26,54,40,16.11,AR,2022-02-08 22:09:58
18,saint george,37.1041,-113.5841,67.62,17,0,5.75,US,2022-02-08 22:07:51
19,luganville,-15.5333,167.1667,80.04,80,100,9.26,VU,2022-02-08 22:09:58
20,lagos,6.5833,3.75,78.35,87,83,6.26,NG,2022-02-08 22:09:58
21,busselton,-33.65,115.3333,52.05,85,2,6.33,AU,2022-02-08 22:09:59
22,bluff,-46.6,168.3333,59.81,85,94,10.2,NZ,2022-02-08 22:09:59
23,san quintin,30.4833,-115.95,68.86,25,4,9.28,MX,2022-02-08 22:09:59
24,jamestown,42.097,-79.2353,27.09,54,100,10.0,US,2022-02-08 22:10:00
25,paidha,2.4167,30.9855,69.39,38,80,2.95,UG,2022-02-08 22:10:01
26,ahipara,-35.1667,173.1667,77.77,80,81,9.13,NZ,2022-02-08 22:06:27
27,cape town,-33.9258,18.4232,67.08,78,75,1.01,ZA,2022-02-08 22:07:13
28,severo-kurilsk,50.6789,156.125,30.67,93,95,27.47,RU,2022-02-08 22:10:02
29,rikitea,-23.1203,-134.9692,78.91,71,77,12.03,PF,2022-02-08 22:10:02
30,port elizabeth,-33.918,25.5701,64.69,94,75,12.66,ZA,2022-02-08 22:10:02
31,hermanus,-34.4187,19.2345,64.9,89,74,7.14,ZA,2022-02-08 22:10:03
32,vanimo,-2.6741,141.3028,78.62,88,80,3.2,PG,2022-02-08 22:10:03
33,vardo,70.3705,31.1107,28.38,80,75,23.02,NO,2022-02-08 22:10:04
34,sao joao da barra,-21.6403,-41.0511,75.29,94,82,10.07,BR,2022-02-08 22:10:04
35,mataura,-46.1927,168.8643,59.49,83,100,3.02,NZ,2022-02-08 22:10:05
36,lebu,-37.6167,-73.65,62.8,81,20,18.45,CL,2022-02-08 22:10:05
37,primorsk,46.7348,36.3443,39.04,93,100,11.63,UA,2022-02-08 22:10:06
38,kabanjahe,3.1001,98.4908,63.36,98,100,1.9,ID,2022-02-08 22:10:06
39,kodiak,57.79,-152.4072,26.11,59,0,13.8,US,2022-02-08 22:06:18
40,the valley,18.217,-63.0578,77.83,65,20,9.22,AI,2022-02-08 22:10:07
41,sao paulo de olivenca,-3.3783,-68.8725,74.14,98,100,2.93,BR,2022-02-08 22:10:07
42,yemelyanovo,56.1681,92.6767,-11.92,84,40,2.24,RU,2022-02-08 22:10:07
43,lodja,-3.4833,23.4333,71.01,87,91,1.3,CD,2022-02-08 22:10:08
44,kulhudhuffushi,6.6221,73.07,80.58,67,72,10.67,MV,2022-02-08 22:10:08
45,avarua,-21.2078,-159.775,80.65,83,40,8.05,CK,2022-02-08 22:10:09
46,tambacounda,13.7539,-13.7586,82.22,10,26,9.46,SN,2022-02-08 22:11:09
47,barrow,71.2906,-156.7887,-29.18,100,0,8.05,US,2022-02-08 22:11:09
48,buchanan,5.8808,-10.0467,78.76,82,65,6.22,LR,2022-02-08 22:11:10
49,san cristobal,7.7669,-72.225,77.18,63,84,3.89,VE,2022-02-08 22:11:10
50,saint-philippe,-21.3585,55.7679,76.55,86,78,8.41,RE,2022-02-08 22:10:01
51,kahului,20.8947,-156.47,83.46,57,40,13.8,US,2022-02-08 22:11:11
52,kargasok,59.0556,80.8572,-18.62,100,8,5.14,RU,2022-02-08 22:11:11
53,albany,42.6001,-73.9662,35.55,67,48,1.01,US,2022-02-08 22:08:50
54,rocha,-34.4833,-54.3333,66.54,70,2,6.22,UY,2022-02-08 22:11:12
55,iqaluit,63.7506,-68.5145,-0.31,77,100,5.99,CA,2022-02-08 22:11:12
56,san joaquin,37.9333,-121.3011,74.16,41,0,0.0,US,2022-02-08 22:11:13
57,qaanaaq,77.484,-69.3632,-13.72,92,100,5.44,GL,2022-02-08 22:11:13
58,caravelas,-17.7125,-39.2481,77.92,87,97,7.7,BR,2022-02-08 22:11:13
59,kysyl-syr,63.8986,122.7617,-44.03,100,92,0.45,RU,2022-02-08 22:11:14
60,ossora,59.2353,163.0719,6.78,96,100,7.74,RU,2022-02-08 22:11:14
61,tiksi,71.6872,128.8694,-19.61,99,74,8.99,RU,2022-02-08 22:11:15
62,sitka,57.0531,-135.33,44.49,87,100,19.57,US,2022-02-08 22:09:30
63,morro bay,35.3658,-120.8499,77.07,44,38,4.97,US,2022-02-08 22:11:15
64,mildura,-34.2,142.15,73.36,56,54,5.75,AU,2022-02-08 22:09:38
65,broken hill,-31.95,141.4333,76.53,41,61,4.07,AU,2022-02-08 22:11:16
66,port alfred,-33.5906,26.891,71.94,85,7,9.93,ZA,2022-02-08 22:11:16
67,sao filipe,14.8961,-24.4956,72.52,74,2,5.28,CV,2022-02-08 22:11:17
68,kaitangata,-46.2817,169.8464,58.69,85,100,9.28,NZ,2022-02-08 22:11:17
69,lompoc,34.6391,-120.4579,79.79,36,0,13.8,US,2022-02-08 22:11:12
70,baruun-urt,46.6806,113.2792,-1.97,95,17,0.63,MN,2022-02-08 22:11:18
71,ixtapa,20.7,-105.2,74.43,69,0,9.22,MX,2022-02-08 22:11:18
72,beloha,-25.1667,45.05,75.36,84,64,12.95,MG,2022-02-08 22:11:18
73,kavieng,-2.5744,150.7967,82.33,78,100,8.59,PG,2022-02-08 22:11:19
74,bermeo,43.4209,-2.7215,57.4,77,10,9.04,ES,2022-02-08 22:11:19
75,saskylakh,71.9167,114.0833,2.61,84,100,14.83,RU,2022-02-08 22:11:19
76,vestmannaeyjar,63.4427,-20.2734,35.13,75,100,11.16,IS,2022-02-08 22:11:20
77,bathsheba,13.2167,-59.5167,77.61,69,40,17.27,BB,2022-02-08 22:11:20
78,kenai,60.5544,-151.2583,29.03,84,100,25.32,US,2022-02-08 22:11:21
79,zabol,32.25,67.25,33.03,59,0,6.22,AF,2022-02-08 22:11:21
80,chokurdakh,70.6333,147.9167,-43.85,100,97,5.68,RU,2022-02-08 22:11:21
81,cidreira,-30.1811,-50.2056,72.68,69,46,12.93,BR,2022-02-08 22:11:22
82,tura,25.5198,90.2201,53.38,72,2,3.36,IN,2022-02-08 22:10:22
83,shubarkuduk,49.1447,56.4872,13.28,98,96,4.21,KZ,2022-02-08 22:11:22
84,yellowknife,62.456,-114.3525,-10.71,75,99,3.0,CA,2022-02-08 22:11:23
85,tuktoyaktuk,69.4541,-133.0374,-37.66,100,62,4.72,CA,2022-02-08 22:11:23
86,zaysan,47.4667,84.8667,5.52,93,94,3.02,KZ,2022-02-08 22:11:24
87,bilibino,68.0546,166.4372,-26.25,75,15,1.7,RU,2022-02-08 22:11:24
88,kapaa,22.0752,-159.319,79.2,65,40,10.36,US,2022-02-08 22:11:24
89,cayenne,4.9333,-52.3333,81.09,84,40,5.75,GF,2022-02-08 22:11:25
90,caucaia,-3.7361,-38.6531,82.35,75,20,9.22,BR,2022-02-08 22:11:25
91,waihi beach,-37.4,175.9333,71.91,98,100,4.0,NZ,2022-02-08 22:11:25
92,new norfolk,-42.7826,147.0587,63.91,68,58,2.68,AU,2022-02-08 22:11:26
93,moskovskiy,55.5991,37.355,31.1,77,75,11.18,RU,2022-02-08 22:11:26
94,provideniya,64.3833,-173.3,-3.89,65,0,15.66,RU,2022-02-08 22:09:04
